,ID,NUM_SALES,ENTERED,EXITED
342,347,201,16430,16628
343,348,19,16638,16681
344,349,183,16422,16555
345,350,7692,16129,16548
346,351,778,16521,16669
347,352,1613,16077,16577
348,353,360,16417,16663
349,354,349,16566,16641
350,355,1957,16274,16573
351,356,34,16466,16533
352,357,640,16367,16679
353,358,5,16637,16638
354,359,244,16178,16527
355,360,3436,16162,16673
356,361,203,16351,16515
357,362,1346,16248,16668
358,363,3024,16211,16652
359,364,1675,16415,16615
360,365,49,16129,16356
361,366,548,16338,16673
362,367,80,16513,16649
363,368,256,16596,16674
364,369,1434,16142,16668
365,370,652,16605,16674
366,371,1304,16428,16671
367,372,9941,16287,16684
368,373,711,16350,16626
369,374,171,16520,16671
370,375,719,16246,16632
371,376,485,16314,16657
372,377,36,16406,16577
373,378,270,16516,16669
374,379,499,16092,16675
375,380,69,16250,16635
376,381,224,16466,16672
377,382,43,16620,16667
378,383,705,16476,16673
379,384,284,16277,16514
380,385,2015,16171,16671
381,386,4281,16171,16679
382,387,6,16442,16444
383,388,1511,16171,16671
384,389,2953,16233,16669
385,390,1005,16591,16677
386,391,298,16211,16668
387,392,658,16189,16661
388,393,1239,16184,16676
389,394,1866,16391,16625
390,395,3047,16277,16672
391,396,611,16470,16675
392,397,32,16407,16652
393,398,6144,16283,16679
394,399,19,16418,16497
395,400,589,16156,16647
396,401,1813,16186,16505
397,402,2228,16129,16639
398,403,65,16387,16397
399,404,1,16134,16134
400,405,945,16102,16508
401,406,137,16559,16672
402,407,153,16323,16672
403,408,2,16527,16528
404,409,31,16392,16444
405,410,8702,16085,16678
406,411,1632,16394,16670
407,412,377,16219,16669
408,413,237,16129,16675
409,414,1078,16129,16674
410,415,206,16130,16647
411,416,91,16171,16453
412,418,111,16175,16535
413,419,572,16377,16673
414,420,2311,16227,16677
415,421,875,16129,16659
416,422,131,16553,16676
417,423,317,16277,16535
418,424,6043,16391,16673
419,425,584,16291,16482
420,426,36,16124,16220
421,427,141,16416,16537
422,428,884,16161,16672
